Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	1.6241	1.9980	0.4170	0.3958
2	1.0349	1.7377	0.6951	0.6042
3	0.8790	1.2158	0.7354	0.7917
4	0.7710	0.6831	0.7444	0.8958
5	0.7465	0.4491	0.7803	0.9167
6	0.6573	0.2771	0.7892	0.9583
7	0.6663	0.2170	0.7758	0.9583
8	0.5913	0.2388	0.8386	0.9583
9	0.5338	0.2029	0.8565	0.9792
10	0.5195	0.2266	0.8430	0.9583
11	0.5294	0.2015	0.8072	0.9375
12	0.5564	0.1677	0.8072	0.9792
13	0.5402	0.1514	0.8161	0.9792
14	0.5499	0.1915	0.8161	0.9583
15	0.5616	0.1427	0.8251	0.9583
16	0.5157	0.1794	0.8386	0.9583
17	0.5734	0.2031	0.8161	0.9375
18	0.4795	0.2030	0.8341	0.9583
19	0.5095	0.1811	0.8341	0.9583
20	0.4705	0.1753	0.8386	0.9375
21	0.3988	0.1677	0.8610	0.9375
22	0.5004	0.1573	0.8027	0.9583
23	0.4202	0.1486	0.8610	0.9583
24	0.4416	0.1515	0.8744	0.9375
25	0.4043	0.1506	0.8430	0.9375
26	0.5765	0.1488	0.7803	0.9583
27	0.4494	0.1522	0.8475	0.9583
28	0.3874	0.1474	0.8655	0.9583
29	0.3696	0.1438	0.8924	0.9583
30	0.4646	0.1549	0.8430	0.9583
